Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
2:18.20, 36625,  2070,
2:18.40, 36716,  1990,
2:18.60, 36841,  2147,
2:18.80, 36963,  1973,
2:19.00, 37070,  1827,
2:19.20, 37140,  2134,
2:19.40, 37140,  2098,
2:19.60, 37172,  2094,
2:19.80, 37175,  2083,
2:20.00, 37141,  2050,
2:20.20, 37095,  2026,
2:20.40, 37095,  1428,
2:20.60, 37054,  2418,
2:20.80, 37017,  1927,
2:21.00, 36998,  2048,
2:21.20, 36986,  2088,
2:21.40, 36986,  2341,
2:21.60, 36971,  2007,
2:21.80, 36955,  2111,
2:22.00, 36944,  3253,
2:22.20, 36934,  1752,
2:22.40, 36926,  2252,
2:22.60, 36926,  2719,
2:22.80, 36933,  1861,
2:23.00, 36950,  2054,
2:23.20, 36969,  1802,
2:23.40, 36979,  2048,
2:23.60, 36979,  2135,
2:23.80, 36974,  1987,
2:24.00, 36960,  2030,
2:24.20, 36938,  1785,
2:24.40, 36919,  2177,
2:24.60, 36901,  1846,
2:24.80, 36901,  2122,
2:25.00, 36884,  3155,
2:25.20, 36875,  2274,
2:25.40, 36874,  1956,
2:25.60, 36871,  2336,
2:25.80, 36871,  3315,
2:26.00, 36866,  2540,
2:26.20, 36878,  2039,
2:26.40, 36895,  1732,
2:26.60, 36910,  1930,
2:26.80, 36931,  2238,
2:27.00, 36931,  2173,
2:27.20, 36935,  2018,
2:27.40, 36926,  1437,
2:27.60, 36916,  1586,
2:27.80, 36899,  1945,
2:28.00, 36899,  2070,
2:28.20, 36880,  2662,
2:28.40, 36864,  2147,
2:28.60, 36864,  2311,
2:28.80, 36872,  2150,
2:29.00, 36872,  2211,
2:29.20, 36874,  1913,
2:29.40, 36862,  2097,
2:29.60, 36835,  2115,
2:29.80, 36807,  2112,
2:30.00, 36798,  2200,
2:30.20, 36798,  2109,
2:30.40, 36817,  1808,
2:30.60, 36852,  1824,
2:30.80, 36885,  2751,
2:31.00, 36907,  1879,
2:31.20, 36907,  1579,
2:31.40, 36913,  2760,
2:31.60, 36899,  2037,
2:31.80, 36872,  1808,
2:32.00, 36865,  1908,
2:32.20, 36865,  1939,
2:32.40, 36865,  2123,
2:32.60, 36881,  1992,
2:32.80, 36908,  2294,
2:33.00, 36914,  2146,
2:33.20, 36903,  2166,
2:33.40, 36903,  2030,
2:33.60, 36890,  2205,
2:33.80, 36875,  2041,
2:34.00, 36859,  2150,
2:34.20, 36854,  2140,
2:34.40, 36854,  2064,
