Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
9:15.40, 36421,  2284,
9:15.60, 36393,  2365,
9:15.80, 36363,  2575,
9:16.00, 36343,  1883,
9:16.20, 36357,  2209,
9:16.40, 36417,  2770,
9:16.60, 36417,  2221,
9:16.80, 36497,  1356,
9:17.00, 36561,  3282,
9:17.20, 36597,  2002,
9:17.40, 36592,   787,
9:17.60, 36592,  2000,
9:17.80, 36550,  2150,
9:18.00, 36472,  2551,
9:18.20, 36362,  2863,
9:18.40, 36266,  1662,
9:18.60, 36210,  1381,
9:18.80, 36210,  1874,
9:19.00, 36211,  1131,
9:19.20, 36258,  1558,
9:19.40, 36307,  1856,
9:19.60, 36349,  2403,
9:19.80, 36349,  2180,
9:20.00, 36383,  3256,
9:20.20, 36399,  2989,
9:20.40, 36402,  2327,
9:20.60, 36392,  3237,
9:20.80, 36392,  2442,
9:21.00, 36376,  2180,
9:21.20, 36361,  2938,
9:21.40, 36350,  2468,
9:21.60, 36339,  2091,
9:21.80, 36330,  2003,
9:22.00, 36330,  2238,
9:22.20, 36324,  1507,
9:22.40, 36320,  1373,
9:22.60, 36319,  1215,
9:22.80, 36322,  1959,
9:23.00, 36322,  2038,
9:23.20, 36320,  1701,
9:23.40, 36298,  2226,
9:23.60, 36245,  2288,
9:23.80, 36162,  3684,
9:24.00, 36049,  3171,
9:24.20, 36049,  2102,
9:24.40, 35917,  2227,
9:24.60, 35723,  1713,
9:24.80, 35489,  1534,
9:25.00, 35267,   565,
9:25.20, 35267,  1366,
9:25.40, 35120,  1949,
9:25.60, 35142,  1912,
9:25.80, 35279,  2046,
9:26.00, 35474,  2400,
9:26.20, 35636,  2035,
9:26.40, 35636,  2058,
9:26.60, 35725,  2360,
9:26.80, 35772,  2038,
9:27.00, 35790,  2286,
9:27.20, 35805,  2332,
9:27.40, 35805,  2038,
9:27.60, 35827,  2520,
9:27.80, 35871,  1668,
9:28.00, 35923,  1639,
9:28.20, 35967,  2059,
9:28.40, 35967,  2678,
9:28.60, 36040,  1741,
9:28.80, 36093,  2379,
9:29.00, 36137,  1961,
9:29.20, 36208,  2142,
9:29.40, 36253,  1941,
9:29.60, 36253,  2035,
9:29.80, 36287,  1830,
9:30.00, 36315,  2099,
9:30.20, 36315,  2067,
9:30.40, 36301,  1574,
9:30.60, 36301,  2332,
9:30.80, 36288,  2119,
9:31.00, 36282,  2232,
9:31.20, 36286,  2057,
9:31.40, 36303,  2180,
9:31.60, 36326,  2000,
9:31.80, 36326,  1921,
9:32.00, 36347,  2154,
9:32.20, 36357,  1884,
9:32.40, 36353,  2293,
9:32.60, 36338,  1717,
9:32.80, 36338,  1905,
9:33.00, 36321,  1912,
9:33.20, 36313,  2060,
9:33.40, 36314,  2411,
9:33.60, 36331,  2164,
9:33.80, 36353,  2065,
9:34.00, 36353,  2215,
9:34.20, 36370,  2148,
9:34.40, 36371,  2055,
9:34.60, 36348,  3304,
9:34.80, 36316,  2756,
9:35.00, 36316,   572,
9:35.20, 36289,  1467,
9:35.40, 36267,  3283,
9:35.60, 36256,  2874,
9:35.80, 36252,  2058,
9:36.00, 36252,  1421,
9:36.20, 36247,  1797,
9:36.40, 36238,  2416,
9:36.60, 36240,  2297,
9:36.80, 36248,  2567,
9:37.00, 36261,  1946,
9:37.20, 36261,  2077,
9:37.40, 36286,  2200,
9:37.60, 36299,  1860,
9:37.80, 36299,  2213,
9:38.00, 36285,  1128,
9:38.20, 36285,  1905,
9:38.40, 36271,  1768,
9:38.60, 36265,  2046,
9:38.80, 36270,  2032,
9:39.00, 36282,  2157,
9:39.20, 36288,  1776,
9:39.40, 36288,  3347,
9:39.60, 36287,  3289,
9:39.80, 36287,  1050,
9:40.00, 36298,  1508,
9:40.20, 36308,  2152,
9:40.40, 36308,  2353,
9:40.60, 36325,  2485,
9:40.80, 36338,  1049,
9:41.00, 36315,  3070,
9:41.20, 36302,  2050,
9:41.40, 36302,  1844,
9:41.60, 36293,  2184,
9:41.80, 36286,  2256,
9:42.00, 36311,  2189,
9:42.20, 36336,  2123,
9:42.40, 36352,  2161,
9:42.60, 36352,  2015,
9:42.80, 36362,  1773,
9:43.00, 36351,  2001,
9:43.20, 36323,  1923,
9:43.40, 36295,  2050,
9:43.60, 36295,  2060,
9:43.80, 36274,  2202,
9:44.00, 36267,  2102,
9:44.20, 36267,  1900,
9:44.40, 36265,  2210,
9:44.60, 36254,  1988,
9:44.80, 36254,  2278,
9:45.00, 36250,  2224,
9:45.20, 36261,  2311,
9:45.40, 36281,  1877,
9:45.60, 36300,  3194,
9:45.80, 36300,  3482,
9:46.00, 36319,  2834,
9:46.20, 36332,  3431,
9:46.40, 36332,  2131,
9:46.60, 36335,  1125,
9:46.80, 36339,  2598,
9:47.00, 36339,  2921,
9:47.20, 36314,  2209,
9:47.40, 36214,  2274,
9:47.60, 36043,  2103,
9:47.80, 35826,  2273,
9:48.00, 35826,  2127,
9:48.20, 35625,  2171,
9:48.40, 35509,  1721,
9:48.60, 35469,  2278,
9:48.80, 35467,  1928,
9:49.00, 35467,  1287,
9:49.20, 35477,   668,
9:49.40, 35515,  1446,
9:49.60, 35602,  3221,
9:49.80, 35689,  2912,
9:50.00, 35729,  2627,
9:50.20, 35729,  2219,
9:50.40, 35708,  1969,
9:50.60, 35618,  2038,
9:50.80, 35523,  2479,
9:51.00, 35509,  2521,
9:51.20, 35509,   680,
9:51.40, 35545,  1734,
9:51.60, 35591,  2800,
9:51.80, 35574,  2773,
9:52.00, 35429,  2937,
9:52.20, 35234,    73,
9:52.40, 35234,  1228,
9:52.60, 35079,  2685,
9:52.80, 35042,  2038,
9:53.00, 35125,  1801,
9:53.20, 35246,  1722,
9:53.40, 35246,  1996,
9:53.60, 35338,  1735,
9:53.80, 35401,  3914,
9:54.00, 35451,  3498,
9:54.20, 35475,  2961,
9:54.40, 35475,  2649,
9:54.60, 35438,  2349,
9:54.80, 35297,  1793,
9:55.00, 35070,   571,
9:55.20, 34843,   895,
9:55.40, 34748,  1777,
9:55.60, 34748,  1813,
9:55.80, 34853,  1816,
9:56.00, 35125,  2210,
9:56.20, 35461,  2229,
9:56.40, 35766,  1978,
9:56.60, 35766,  1902,
9:56.80, 35990,  1890,
9:57.00, 36109,  2547,
9:57.20, 36174,  2197,
9:57.40, 36235,  2334,
9:57.60, 36283,  2095,
9:57.80, 36283,  1943,
9:58.00, 36356,  1802,
9:58.20, 36437,  2093,
9:58.40, 36483,  2251,
9:58.60, 36511,  2262,
9:58.80, 36511,  2479,
9:59.00, 36533,  2369,
9:59.20, 36551,  2346,
9:59.40, 36568,  2363,
9:59.60, 36579,  2354,
9:59.80, 36584,  2383,
10:00.00, 36584,  2359,
,,,
