Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
1:10.40, 39770,  2136,
1:10.60, 39770,  2510,
1:10.80, 39771,  2107,
1:11.00, 39771,  2295,
1:11.20, 39771,  1895,
1:11.40, 39771,  1678,
1:11.60, 39771,  1662,
1:11.80, 39771,  1751,
1:12.00, 39771,  1760,
1:12.20, 39771,  1796,
1:12.40, 39771,  1740,
1:12.60, 39771,  2239,
1:12.80, 39771,  1856,
1:13.00, 39771,  2020,
1:13.20, 39771,  1645,
1:13.40, 39771,  2237,
1:13.60, 39771,  1816,
1:13.80, 39771,  1920,
1:14.00, 39771,  2049,
1:14.20, 39771,  2082,
1:14.40, 39771,  1922,
1:14.60, 39771,  1972,
1:14.80, 39771,  2178,
1:15.00, 39771,  1843,
1:15.20, 39771,  2346,
1:15.40, 39771,  1866,
1:15.60, 39771,  2013,
1:15.80, 39771,  1965,
1:16.00, 39771,  2074,
1:16.20, 39771,  1917,
1:16.40, 39771,  2150,
1:16.60, 39771,  1714,
1:16.80, 39771,  1920,
1:17.00, 39771,  2021,
1:17.20, 39771,  1863,
1:17.40, 39771,  2122,
1:17.60, 39767,  2035,
1:17.80, 39766,  2527,
1:18.00, 39766,  2061,
1:18.20, 39765,  2039,
1:18.40, 39766,  2041,
1:18.60, 39769,  2103,
1:18.80, 39771,  2004,
1:19.00, 39771,  1955,
1:19.20, 39771,  1989,
1:19.40, 39772,  1731,
1:19.60, 39772,  2282,
1:19.80, 39772,  2704,
1:20.00, 39772,  2345,
1:20.20, 39772,  1961,
1:20.40, 39772,  2117,
1:20.60, 39772,  1871,
1:20.80, 39772,  2216,
1:21.00, 39772,  3004,
1:21.20, 39772,  3206,
1:21.40, 39772,  2357,
1:21.60, 39772,  2373,
1:21.80, 39772,  1894,
1:22.00, 39772,  2557,
1:22.20, 39772,  3480,
1:22.40, 39772,  3626,
1:22.60, 39772,  2544,
1:22.80, 39772,  2098,
1:23.00, 39772,  2405,
1:23.20, 39772,  2280,
1:23.40, 39772,  2235,
1:23.60, 39772,  1832,
1:23.80, 39772,  1997,
1:24.00, 39772,  1428,
1:24.20, 39772,  1370,
1:24.40, 39772,  1257,
1:24.60, 39772,  2041,
1:24.80, 39772,  1964,
1:25.00, 39772,  1634,
1:25.20, 39772,  2213,
1:25.40, 39772,  2296,
1:25.60, 39772,  1909,
1:25.80, 39772,  1467,
1:26.00, 39772,  1559,
1:26.20, 39772,  2146,
1:26.40, 39772,  1889,
1:26.60, 39772,  1472,
1:26.80, 39772,  1137,
1:27.00, 39772,   882,
1:27.20, 39772,  1039,
1:27.40, 39772,  1933,
1:27.60, 39772,  1983,
1:27.80, 39772,  1978,
1:28.00, 39772,  2025,
1:28.20, 39772,  2210,
1:28.40, 39772,  1974,
1:28.60, 39772,  2081,
1:28.80, 39772,  2098,
1:29.00, 39772,  2364,
1:29.20, 39772,  1977,
1:29.40, 39772,  2169,
1:29.60, 39772,  2127,
1:29.80, 39772,  2232,
1:30.00, 39772,  1964,
1:30.20, 39772,  2337,
1:30.40, 39772,  2751,
1:30.60, 39772,  2227,
1:30.80, 39772,  2632,
1:31.00, 39772,  1956,
1:31.20, 39772,  1268,
1:31.40, 39772,  1361,
1:31.60, 39772,  1030,
1:31.80, 39772,    17,
1:32.00, 39772,    28,
1:32.20, 39772,  1424,
1:32.40, 39772,  3984,
1:32.60, 39772,  4027,
1:32.80, 39772,  4038,
1:33.00, 39772,  4034,
1:33.20, 39772,  4037,
1:33.40, 39772,  4038,
1:33.60, 39772,  4032,
1:33.80, 39772,  4032,
1:34.00, 39772,  4035,
1:34.20, 39772,  4040,
1:34.40, 39772,  4039,
1:34.60, 39772,  4037,
1:34.80, 39772,  4029,
1:35.00, 39772,  4011,
1:35.20, 39772,  3977,
1:35.40, 39772,  3957,
1:35.60, 39772,  2936,
1:35.80, 39772,  2179,
1:36.00, 39772,  1236,
1:36.20, 39772,  4010,
1:36.40, 39772,  4026,
1:36.60, 39772,  4027,
1:36.80, 39772,  4029,
1:37.00, 39772,  4025,
1:37.20, 39772,  4024,
1:37.40, 39772,  4027,
1:37.60, 39772,  4026,
1:37.80, 39772,  4034,
1:38.00, 39772,  4008,
1:38.20, 39772,  3621,
1:38.40, 39772,   834,
1:38.60, 39772,  1066,
1:38.80, 39772,  2068,
1:39.00, 39772,   637,
1:39.20, 39772,  3175,
1:39.40, 39772,  2733,
1:39.60, 39772,   923,
1:39.80, 39772,  1037,
1:40.00, 39772,  1063,
1:40.20, 39772,   761,
1:40.40, 39772,   163,
1:40.60, 39772,    44,
1:40.80, 39772,    49,
1:41.00, 39772,   153,
1:41.20, 39772,   100,
1:41.40, 39773,   399,
1:41.60, 39773,   841,
1:41.80, 39773,  1473,
1:42.00, 39773,  1664,
1:42.20, 39773,  1518,
1:42.40, 39773,  2719,
1:42.60, 39773,  4007,
1:42.80, 39773,  2819,
1:43.00, 39773,  3618,
1:43.20, 39773,   846,
1:43.40, 39773,   903,
1:43.60, 39773,   991,
1:43.80, 39773,   485,
1:44.00, 39773,  3986,
1:44.20, 39773,  3990,
1:44.40, 39773,  1459,
1:44.60, 39773,   638,
1:44.80, 39773,   982,
1:45.00, 39773,  1891,
1:45.20, 39773,  2033,
1:45.40, 39773,  1838,
1:45.60, 39773,  2062,
1:45.80, 39773,  1731,
1:46.00, 39773,  2936,
1:46.20, 39773,  2119,
1:46.40, 39773,  2030,
1:46.60, 39773,  2340,
1:46.80, 39773,  1784,
1:47.00, 39773,  2450,
1:47.20, 39773,  1814,
1:47.40, 39773,  1891,
1:47.60, 39773,  1980,
1:47.80, 39772,  1962,
1:48.00, 39766,  1933,
1:48.20, 39762,  1915,
1:48.40, 39762,  3047,
1:48.60, 39760,  1970,
1:48.80, 39760,  1819,
1:49.00, 39766,  1633,
1:49.20, 39770,  1743,
1:49.40, 39770,  2268,
1:49.60, 39770,  1762,
1:49.80, 39770,  2250,
1:50.00, 39770,  1960,
1:50.20, 39691,  2194,
1:50.40, 39223,  1951,
1:50.60, 39223,  2369,
1:50.80, 38656,  2251,
1:51.00, 38375,  2208,
1:51.20, 38326,  2111,
1:51.40, 38736,  2316,
1:51.60, 38736,  1869,
1:51.80, 39278,  2671,
1:52.00, 39547,  2058,
1:52.20, 39669,  1717,
1:52.40, 39724,  2132,
1:52.60, 39749,  2400,
1:52.80, 39749,  1948,
1:53.00, 39761,  1925,
1:53.20, 39767,  1873,
1:53.40, 39769,  2304,
1:53.60, 39771,  2330,
1:53.80, 39771,  2351,
1:54.00, 39771,  2363,
1:54.20, 39772,  2359,
1:54.40, 39772,  2398,
1:54.60, 39772,  2805,
1:54.80, 39772,  3197,
1:55.00, 39772,  2420,
1:55.20, 39772,  2475,
1:55.40, 39772,  1906,
1:55.60, 39772,  2017,
1:55.80, 39772,  1926,
1:56.00, 39772,  1973,
1:56.20, 39773,  1806,
1:56.40, 39773,  1965,
1:56.60, 39773,  2092,
1:56.80, 39773,  1896,
1:57.00, 39773,  2011,
1:57.20, 39773,  2033,
1:57.40, 39773,  2046,
1:57.60, 39773,  1873,
1:57.80, 39773,  2107,
1:58.00, 39773,   837,
1:58.20, 39773,  1354,
1:58.40, 39773,  1451,
1:58.60, 39773,  1915,
1:58.80, 39773,  2355,
1:59.00, 39773,  1762,
1:59.20, 39773,  1860,
1:59.40, 39773,  2054,
1:59.60, 39773,  2381,
1:59.80, 39773,  2344,
2:00.00, 39773,  1848,
2:00.20, 39773,  1612,
2:00.40, 39773,  2390,
2:00.60, 39773,  3886,
2:00.80, 39773,  4016,
2:01.00, 39773,  3975,
2:01.20, 39773,  1774,
2:01.40, 39773,   647,
2:01.60, 39773,  1346,
2:01.80, 39773,  3753,
2:02.00, 39773,  3812,
2:02.20, 39773,  2555,
2:02.40, 39773,  2822,
2:02.60, 39773,  1171,
2:02.80, 39773,    13,
2:03.00, 39773,    20,
2:03.20, 39773,    30,
2:03.40, 39773,   365,
2:03.60, 39773,  1284,
2:03.80, 39773,  1406,
2:04.00, 39773,  3991,
2:04.20, 39773,  2697,
2:04.40, 39773,   793,
2:04.60, 39773,   935,
2:04.80, 39773,    41,
2:05.00, 39773,   163,
2:05.20, 39773,  2386,
2:05.40, 39773,  2406,
2:05.60, 39773,  2394,
2:05.80, 39773,  2846,
2:06.00, 39773,  2677,
2:06.20, 39773,  3131,
2:06.40, 39773,  2330,
2:06.60, 39773,  1831,
2:06.80, 39773,  1639,
2:07.00, 39773,  1815,
2:07.20, 39773,  2202,
2:07.40, 39773,  2134,
2:07.60, 39773,  2434,
2:07.80, 39773,  2537,
2:08.00, 39773,  2060,
2:08.20, 39773,   798,
2:08.40, 39773,  2522,
2:08.60, 39773,  2695,
2:08.80, 39773,  3946,
2:09.00, 39773,  4009,
2:09.20, 39772,  4009,
2:09.40, 39767,  4001,
2:09.60, 39760,  3985,
2:09.80, 39751,  2496,
2:10.00, 39751,  1062,
2:10.20, 39743,   968,
2:10.40, 39740,    55,
