Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
1:55.80, 32313,  2717,
1:56.00, 32313,  1561,
1:56.20, 32317,  2188,
1:56.40, 32316,  2099,
1:56.60, 32318,  2062,
1:56.80, 32322,  2282,
1:57.00, 32324,  1950,
1:57.20, 32324,  2198,
1:57.40, 32329,  2117,
1:57.60, 32335,  1927,
1:57.80, 32339,  1987,
1:58.00, 32344,  1743,
1:58.20, 32344,  1879,
1:58.40, 32349,  2097,
1:58.60, 32353,  2787,
1:58.80, 32356,  2446,
1:59.00, 32357,  2197,
1:59.20, 32357,  2124,
1:59.40, 32356,  2301,
1:59.60, 32354,  2101,
1:59.80, 32351,  2212,
2:00.00, 32347,  2164,
2:00.20, 32341,  1949,
2:00.40, 32341,  2185,
2:00.60, 32335,  2127,
2:00.80, 32327,  2306,
2:01.00, 32317,  1986,
2:01.20, 32308,  1876,
2:01.40, 32308,  2135,
2:01.60, 32299,  1967,
2:01.80, 32291,  2108,
2:02.00, 32286,  2558,
2:02.20, 32280,  2272,
2:02.40, 32274,  2046,
2:02.60, 32274,  2027,
2:02.80, 32268,  2097,
2:03.00, 32262,  2371,
2:03.20, 32257,  2057,
2:03.40, 32253,  2056,
2:03.60, 32253,  2140,
2:03.80, 32249,  2052,
2:04.00, 32245,  2013,
2:04.20, 32242,  2965,
2:04.40, 32238,  2241,
2:04.60, 32234,  2037,
2:04.80, 32234,  2092,
2:05.00, 32229,  1984,
2:05.20, 32224,  2390,
2:05.40, 32219,  2098,
2:05.60, 32214,  2004,
2:05.80, 32214,  2094,
2:06.00, 32210,  2044,
2:06.20, 32206,  2007,
2:06.40, 32202,  2383,
2:06.60, 32199,  2219,
2:06.80, 32199,  2145,
2:07.00, 32194,  1963,
2:07.20, 32189,  2235,
2:07.40, 32184,  2397,
2:07.60, 32177,  2157,
2:07.80, 32173,  2453,
2:08.00, 32173,  2025,
2:08.20, 32171,  1809,
2:08.40, 32166,  2004,
2:08.60, 32162,  2080,
2:08.80, 32158,  2383,
2:09.00, 32158,  2047,
2:09.20, 32152,  2128,
2:09.40, 32150,  2221,
2:09.60, 32147,  2033,
2:09.80, 32143,  2112,
2:10.00, 32139,  2013,
2:10.20, 32139,  2358,
2:10.40, 32135,  1997,
2:10.60, 32132,  2009,
2:10.80, 32130,  2145,
2:11.00, 32128,  2022,
2:11.20, 32128,  2024,
2:11.40, 32124,  2076,
2:11.60, 32120,  2147,
2:11.80, 32116,  2153,
2:12.00, 32111,  2177,
2:12.20, 32111,  1924,
2:12.40, 32107,  2447,
2:12.60, 32103,  2080,
2:12.80, 32099,  1651,
2:13.00, 32095,  1848,
2:13.20, 32090,  1899,
2:13.40, 32090,  1985,
2:13.60, 32085,  1935,
2:13.80, 32081,  2087,
2:14.00, 32077,  2032,
2:14.20, 32073,  2042,
2:14.40, 32073,  2043,
2:14.60, 32068,  2105,
2:14.80, 32065,  1998,
2:15.00, 32058,  2050,
2:15.20, 32052,  1911,
2:15.40, 32054,  2286,
2:15.60, 32054,  2028,
2:15.80, 32052,  1955,
2:16.00, 32051,  2113,
2:16.20, 32049,  2001,
2:16.40, 32042,  2052,
2:16.60, 32042,  2331,
2:16.80, 32034,  2113,
2:17.00, 32030,  2132,
2:17.20, 32027,  2008,
2:17.40, 32024,  2820,
2:17.60, 32021,  2348,
2:17.80, 32021,  1938,
2:18.00, 32017,  2165,
2:18.20, 32013,  2024,
2:18.40, 32007,  2202,
2:18.60, 32002,  1886,
2:18.80, 32002,  1923,
2:19.00, 31998,  2114,
2:19.20, 31993,  1835,
2:19.40, 31988,  2050,
2:19.60, 31982,  1961,
2:19.80, 31982,  2282,
2:20.00, 31961,  2064,
2:20.20, 31948,  2041,
2:20.40, 31940,  2400,
2:20.60, 31935,  2287,
2:20.80, 31947,  2126,
2:21.00, 31947,  2506,
2:21.20, 31954,  1904,
2:21.40, 31956,  2065,
2:21.60, 31960,  1574,
2:21.80, 31962,  1820,
2:22.00, 31962,  1856,
2:22.20, 31961,  1918,
2:22.40, 31961,  2243,
2:22.60, 31958,  2399,
2:22.80, 31954,  3213,
2:23.00, 31959,  2229,
2:23.20, 31959,  2328,
2:23.40, 31968,  2413,
2:23.60, 31972,  2903,
2:23.80, 31973,  1706,
2:24.00, 31963,  1535,
2:24.20, 31963,  2014,
2:24.40, 31947,  1908,
2:24.60, 31938,  1928,
2:24.80, 31927,  2328,
2:25.00, 31903,  2346,
2:25.20, 31886,  2055,
2:25.40, 31886,  2170,
2:25.60, 31871,  1909,
2:25.80, 31863,  2548,
2:26.00, 31870,  2234,
2:26.20, 31876,  2292,
2:26.40, 31876,  1874,
2:26.60, 31881,  2111,
2:26.80, 31886,  2022,
2:27.00, 31887,  1493,
2:27.20, 31882,  2109,
2:27.40, 31882,  2015,
2:27.60, 31880,  2127,
2:27.80, 31883,  2073,
2:28.00, 31890,  2288,
2:28.20, 31905,  1947,
2:28.40, 31906,  2294,
2:28.60, 31906,  2139,
2:28.80, 31898,  2319,
2:29.00, 31884,  2003,
2:29.20, 31865,  2075,
2:29.40, 31855,  2071,
2:29.60, 31855,  2006,
2:29.80, 31847,  1967,
2:30.00, 31840,  1842,
2:30.20, 31834,  2160,
2:30.40, 31828,  2021,
2:30.60, 31828,  2053,
2:30.80, 31822,  2591,
